"name","gender","ethnicity","age","income","marital.status","years.education","occupation","years.on.earth","birth.world","IQ","height"
"Wasmaaa el-Yassin","female","arabic",54,48739,"married",12,"employed",12,"earth",93.347721712458,1.56008633027475
"Keaanee Carlo","male","indigenous",65,114181,"married",14,"employed",2,"earth",112.516119377103,1.79178487543209
"Theronne Robinson","male","black",44,40890,"married",12,"employed",18,"earth",89.600148713586,1.62373442389963
"Zain al-Kamel","male","arabic",49,48331,"married",18,"employed",15,"earth",97.7294102774541,1.68334900870133
"Mariah Christiansen","female","hispanic",57,130765,"married",22,"employed",7,"earth",130.108818775673,1.78065291265404
"Uqbah el-Farha","male","arabic",48,87077,"divorced",12,"employed",15,"earth",86.7521189174599,1.60284887206137
"Taylor Wagner","male","white",25,59537,"single",16,"employed",17,"earth",105.125292129469,1.73758547561611
"Raven Chambers","female","indigenous",78,41832,"divorced",16,"employed",78,"earth",100.162573740773,1.60097544244464
"Ilhaam el-Anwar","female","arabic",51,90644,"married",18,"employed",14,"earth",108.020592163219,1.64812355297931
"Riley Pineda","male","white",37,49167,"married",16,"employed",25,"earth",108.934119696453,1.76551687777399
"Angel Perez","male","hispanic",60,62377,"married",22,"employed",5,"earth",119.404744321632,1.84230145835863
"Eric Russo","male","black",39,58020,"married",16,"employed",20,"earth",104.863609634618,1.73566647065387
"Paul Valdoria","male","asian",30,62903,"divorced",16,"employed",26,"earth",101.034276797,1.70758469651133
"Matthew Vu","male","asian",36,188123,"married",18,"employed",26,"earth",108.598843666189,1.76305818688539
"Moses Willard","male","black",42,65950,"married",18,"employed",18,"earth",115.93838129326,1.81688146281724
"Ariana Flynn","female","indigenous",66,126825,"married",14,"employed",2,"earth",98.0370901703684,1.58822254102221
"Joshua Adams","male","black",41,36559,"married",12,"employed",18,"earth",88.3367076430769,1.61446918938256
"Jeffrey Rhodes","male","black",43,120585,"married",16,"employed",18,"earth",73.0113116877236,1.50208295237664
"Mubashshir el-Khalifa","male","arabic",56,113429,"married",21,"employed",10,"earth",120.482499143114,1.85020499371617
"Farieha Miyake","male","asian",32,41079,"married",12,"employed",31,"earth",75.2651421247348,1.51861104224806
"Joshua Olson-Green","male","black",41,127490,"married",19,"employed",18,"earth",111.09306639896,1.78134915359238
"Isaac Davenport","male","black",41,85257,"single",18,"employed",19,"earth",113.410614735176,1.79834450805795
"Saalima al-Islam","female","arabic",50,119383,"divorced",16,"employed",15,"earth",92.8121772748497,1.5568730636491
"Nicole Schuster","female","white",38,154119,"married",13,"employed",21,"earth",99.9097342897853,1.59945840573871
"Trang Kapule","female","asian",27,90369,"single",18,"employed",21,"earth",98.7771911871251,1.59266314712275
"Gabriel Rhodebeck","male","white",23,60149,"widowed",14,"employed",14,"earth",86.4409540595292,1.60056699643655
"Bethany Faulkner","female","black",39,150108,"married",15,"employed",20,"earth",102.356224536142,1.61413734721685
"Thien Chang","male","asian",36,58953,"married",15,"employed",27,"earth",93.9004599115368,1.65527003935127
"Brianna Redmond","female","black",45,71366,"single",15,"employed",17,"earth",104.903300424603,1.62941980254762
"Kineta Smith","female","asian",36,44752,"single",12,"employed",26,"earth",86.7598745106793,1.52055924706408
"Kharim Miles","male","black",48,71941,"married",18,"employed",16,"earth",104.052920599263,1.72972141772793
"Kevin Ablay","nonbinary","asian",32,96993,"married",16,"employed",31,"earth",111.204908224323,1.66722944934594
"Jonah Fabio","male","asian",34,70646,"married",22,"employed",30,"earth",117.696516750772,1.82977445617233
"Nawaar al-Khatib","female","arabic",52,46462,"married",16,"employed",13,"earth",88.1657245461166,1.5289943472767
"Ryan Southall","male","other",24,55447,"single",16,"employed",15,"earth",112.320369287813,1.79034937477729
"Thuy Minh Ordanza","female","asian",35,85626,"married",20,"employed",28,"earth",113.040201273676,1.67824120764205
"Alysia Danner","female","indigenous",61,66570,"married",16,"employed",4,"earth",98.4652980130367,1.59079178807822
"Athena Cowley","female","white",22,61620,"single",16,"employed",13,"earth",82.8641976454524,1.49718518587271
"Tiahana Mccoy","female","black",42,59917,"married",12,"employed",18,"earth",83.2586521740608,1.49955191304436
"Jamila Rankin","female","other",41,114083,"married",13,"employed",19,"earth",97.3432443445835,1.5840594660675
"Chu Korf","male","asian",32,89769,"divorced",20,"employed",31,"earth",109.40353131863,1.76895922966995
"Michael Turnbough","male","black",43,83823,"married",18,"employed",18,"earth",114.006996942008,1.80271797757472
"La Daysha Cunningham","female","black",41,140078,"divorced",18,"employed",18,"earth",115.817273044773,1.69490363826864
"Suzanna Miles","nonbinary","indigenous",78,64408,"married",12,"employed",78,"earth",85.6990793287534,1.51419447597252
"Austin Kornblatt","male","white",37,40926,"married",12,"employed",25,"earth",72.0978517697417,1.49538424631144
"Aaron Hoffpauir","male","asian",27,35394,"single",12,"employed",20,"earth",86.2396370113465,1.59909067141654
"Farajallah el-Kaiser","male","arabic",49,41295,"married",8,"employed",15,"earth",73.3148467252762,1.50430887598536
"Farhat al-Baccus","female","arabic",54,66153,"married",16,"employed",12,"earth",100.272844134779,1.60163706480867
"Tanna Mariman","female","indigenous",67,59223,"single",14,"employed",2,"earth",99.4543755812513,1.59672625348751
"Rashaad al-Azimi","male","arabic",50,56773,"single",16,"employed",15,"earth",94.9039838163793,1.66262921465345
"Monica Fox","female","asian",35,48755,"single",20,"employed",29,"earth",109.017856152679,1.65410713691608
"Qisma el-Amer","female","arabic",49,96195,"married",18,"employed",15,"earth",124.039970339755,1.74423982203853
"Matthew Post","male","white",26,66679,"married",15,"employed",18,"earth",98.4126917952508,1.68835973983184
"Michael Vichick","male","white",23,76017,"single",16,"employed",14,"earth",96.2558551127532,1.67254293749352
"Quinten Lyles","male","white",25,273810,"married",16,"employed",17,"earth",112.919462732406,1.79474272670431
"Jaimin Alcon","male","indigenous",64,61546,"married",12,"employed",3,"earth",96.6582733470278,1.67549400454487
"Ashley Thompson","female","black",47,127831,"married",22,"employed",16,"earth",125.436099726706,1.75261659836024
"Dashonia Gadison","female","black",47,72704,"married",16,"employed",16,"earth",97.6605909140119,1.58596354548407
"Kamron Prather","male","white",25,45692,"married",11,"employed",17,"earth",74.4370753842106,1.51253855281754
"Hanna Krishnan","female","asian",27,60173,"divorced",14,"employed",21,"earth",107.792343135014,1.64675405881008
"Kharim Comer","male","black",42,69901,"married",12,"employed",19,"earth",79.3908050977625,1.54886590405026
"Gregory Perea","male","hispanic",60,84109,"divorced",16,"employed",5,"earth",90.1398729003828,1.62769240126947
"Ariel Hernandez-Herrera","female","other",58,106048,"single",22,"employed",6,"earth",126.223455435728,1.75734073261437
"Ghazaala al-Din","female","arabic",56,86605,"divorced",12,"employed",11,"earth",98.6276602317063,1.59176596139024
"Michael Thompson","male","indigenous",62,88578,"married",16,"employed",4,"earth",84.6279868069611,1.58727190325105
"John Shaffer","male","asian",28,95395,"single",22,"employed",22,"earth",124.443618253438,1.87925320052521
"Cody Guischard","male","white",37,159122,"single",18,"employed",25,"earth",111.423478322069,1.78377217436184
"Shanta Berg","female","indigenous",62,59005,"single",13,"employed",4,"earth",116.160173795085,1.69696104277051
"Isaiah Campbell","male","black",41,107050,"married",20,"employed",19,"earth",102.086371670312,1.71530005891562
"Dalantae Parker","other","black",44,129130,"married",17,"employed",18,"earth",111.990047264752,1.67194028358851
"Charles Chappell","male","black",40,76739,"married",16,"employed",19,"earth",107.183563485607,1.75267946556112
"Gabriela Heiney","female","hispanic",57,59156,"single",18,"employed",7,"earth",104.903864028616,1.62942318417169
"Caitlan Gedstad","female","other",23,119060,"single",17,"employed",14,"earth",97.0345041153552,1.58220702469213
"Andrew Meharzi","male","asian",29,66303,"single",13,"employed",24,"earth",89.3525041486853,1.62191836375703
"Se Ra Thompson","nonbinary","asian",32,91472,"single",17,"employed",31,"earth",105.522587883293,1.63313552729976
"Tyler Lefholz","male","indigenous",65,134438,"divorced",16,"employed",2,"earth",106.336395192991,1.74646689808193
"Shahaada el-Greiss","female","arabic",52,88736,"married",17,"employed",13,"earth",98.8885149753053,1.59333108985183
"Intisaar el-Vohra","female","arabic",50,52694,"single",10,"employed",15,"earth",90.2691732252594,1.54161503935156
"Robin Goedde","male","white",22,80777,"single",16,"employed",13,"earth",95.9753623023318,1.6704859902171
"Jeremiah Johnson","male","black",41,96446,"married",18,"employed",19,"earth",102.932705183568,1.7215065046795
"Torrie Sawyer","female","indigenous",66,68589,"single",12,"employed",2,"earth",90.5208080540645,1.54312484832439
"Clarissa Arellano","female","hispanic",60,90298,"single",16,"employed",5,"earth",95.0398419023115,1.57023905141387
"A'Zhionna Frazier","female","black",47,43178,"single",12,"employed",16,"earth",81.1568090191261,1.48694085411476
"Sabrina Burciago","female","black",44,42958,"married",12,"employed",17,"earth",94.8405328737576,1.56904319724255
"Quintrella Wilson","female","black",45,92424,"married",12,"employed",17,"earth",98.726210207113,1.59235726124268
"Stephen Mejia","male","asian",30,63410,"married",16,"employed",26,"earth",110.396875292688,1.77624375214638
"Adam Punzal","male","asian",28,43200,"single",10,"employed",22,"earth",67.9914207982648,1.46527041918728
"Candance Chavez","female","indigenous",68,46052,"divorced",12,"employed",1,"earth",75.3341875054025,1.45200512503242
"Easley Jones","female","asian",34,118708,"married",16,"employed",30,"earth",116.675884979574,1.70005530987744
"Sarena Abrams","female","indigenous",63,110985,"married",17,"employed",4,"earth",98.4650512094734,1.59079030725684
"Navar Mcelhaney","male","indigenous",65,43048,"single",16,"employed",3,"earth",100.275929381014,1.70202348212744
"Travis Boyle","male","white",38,63959,"single",12,"employed",21,"earth",78.4483814057224,1.5419547969753
"Ribbon Wyeno","female","asian",35,129145,"single",20,"employed",28,"earth",106.719639560963,1.64031783736578
"Brett Horner","male","white",26,40346,"married",16,"employed",18,"earth",94.7939051934156,1.66182197141838
"Andrew Garcia","male","hispanic",57,56850,"married",12,"employed",8,"earth",89.2467792247262,1.62114304764799
"Trevor Egan","male","asian",31,50021,"divorced",18,"employed",28,"earth",117.25852657453,1.82656252821322
"Monche'L Clarke","female","black",43,85240,"married",22,"employed",18,"earth",113.77067676673,1.68262406060038
"Maajida al-Youssef","female","arabic",53,65009,"single",11,"employed",13,"earth",90.5621005733963,1.54337260344038
"Amy Medina","female","white",22,41107,"married",11,"employed",13,"earth",72.4504448651838,1.4347026691911
"Shakirra Kellan","female","black",46,69517,"married",18,"employed",16,"earth",122.869430542398,1.73721658325439
"Kristin Einhellig","female","other",25,187650,"single",14,"employed",17,"earth",97.9913937142667,1.5879483622856
"Gage Robinson","male","white",37,59281,"married",12,"employed",25,"earth",80.2850905264275,1.5554239971938
"Jack Kargarzadeh","male","white",22,68891,"single",16,"employed",13,"earth",82.8903754070165,1.57452941965145
"Claire Um","female","asian",28,50135,"married",12,"employed",22,"earth",86.6816543229271,1.52008992593756
"Ariana Presley","female","black",43,71969,"single",16,"employed",18,"earth",93.636732265791,1.56182039359475
"Christina Thai","female","asian",31,107305,"single",22,"employed",28,"earth",125.372117974863,1.75223270784918
"Darian Ricks","female","black",41,70161,"married",18,"employed",18,"earth",103.358084832881,1.62014850899729
"Hamda al-Adel","female","arabic",49,110783,"married",20,"employed",15,"earth",129.976077639799,1.77985646583879
"Trae Yellowhair","male","other",68,77286,"married",18,"employed",1,"earth",98.4210728821874,1.68842120113604
"Nameera al-Salame","female","arabic",51,80202,"married",18,"employed",14,"earth",108.696016911162,1.65217610146697
"Jennifer Tabke","female","white",25,57062,"single",16,"employed",17,"earth",96.9427079359351,1.58165624761561
"Scott Brown","male","white",38,51736,"married",14,"employed",21,"earth",81.5567452284069,1.56474946500832
"Andrew Tobin","male","white",20,52097,"single",9,"employed",5,"earth",83.2235545379097,1.576972733278
"Ernie Hogue","male","black",45,59703,"divorced",12,"employed",17,"earth",77.4900455703922,1.53492700084954
"Tram Yan","female","asian",36,139736,"single",19,"employed",27,"earth",120.455074038076,1.72273044422846
"Colton Bosworth","male","white",26,61264,"single",12,"employed",18,"earth",87.1925432327001,1.60607865037313
"Tanisha Bowman","female","black",43,79066,"married",16,"employed",18,"earth",99.4935579229833,1.5969613475379
"Tylan Motley","female","black",47,51115,"single",13,"employed",16,"earth",95.5757620181762,1.57345457210906
"Bin Song","male","asian",31,238419,"single",18,"employed",29,"earth",108.540814740037,1.76263264142694
"Tsuzuki Morein","female","asian",36,204657,"married",16,"employed",27,"earth",117.599977883025,1.70559986729815
"Austin Bridgett","male","hispanic",60,32282,"single",12,"employed",5,"earth",83.158480505769,1.57649552370897
"Shania Hall","female","black",44,94208,"married",18,"employed",18,"earth",108.355043403129,1.65013026041877
"Vincent Lund","male","asian",36,83754,"single",21,"employed",27,"earth",105.623394085143,1.74123822329105
"Darren Amidei","male","white",38,79238,"single",16,"employed",21,"earth",106.961820973434,1.75105335380518
"Dylan Koehn","male","asian",30,76610,"married",16,"employed",26,"earth",90.4022920395431,1.62961680828998
"Joshua Holman","male","black",45,67041,"married",24,"employed",18,"earth",139.832444967051,1.99210459642504
"Christian Sena","male","other",23,61632,"single",12,"employed",14,"earth",95.9947131585791,1.67062789649625
"Pedro Mosher","male","white",24,90299,"single",16,"employed",15,"earth",105.077634978583,1.73723598984294
"Christian Ta","male","asian",30,142615,"married",19,"employed",26,"earth",98.8168351580457,1.69132345782567
"Dorian Johnson Jr","male","black",46,45229,"married",10,"employed",16,"earth",92.8019759760797,1.64721449049125
"James Perez","male","indigenous",70,97318,"married",22,"employed",1,"earth",117.159484814536,1.82583622197326
"Melyzjah Sharp","female","other",43,79751,"married",15,"employed",18,"earth",81.3757638166886,1.48825458290013
"Nicholas Blackman","male","white",26,78968,"married",20,"employed",18,"earth",108.443052747408,1.76191572014766
"James Trotman","male","black",39,59309,"divorced",15,"employed",20,"earth",93.7680512673445,1.65429904262719
"Zuhra el-Rauf","female","arabic",52,68107,"single",9,"employed",13,"earth",62.440728393764,1.37464437036258
"Bethany Lutz","female","white",22,33280,"married",10,"employed",13,"earth",82.1631476092027,1.49297888565522
"Jenna Kim","female","asian",32,71917,"single",15,"employed",31,"earth",108.266143402998,1.64959686041799
"Ryan Lee","male","black",40,129155,"married",23,"employed",19,"earth",124.726006848665,1.88132405022355
"Genevieve Keyer","female","indigenous",70,69096,"married",17,"employed",1,"earth",99.3936956084179,1.59636217365051
"Rajeana Cook","female","black",40,85254,"married",22,"employed",20,"earth",113.49721446582,1.68098328679492
"Russell Jamison","male","indigenous",62,51779,"married",16,"employed",4,"earth",86.8428359296987,1.60351413015112
"Mayumi Holliday","female","black",45,179447,"married",22,"employed",17,"earth",124.547270181161,1.74728362108697
"Reid Talbott","male","white",25,63867,"single",13,"employed",17,"earth",75.8779443156367,1.52310492498134
"Andre Stokes","male","other",39,83485,"married",19,"employed",20,"earth",93.3791016106729,1.65144674514493
"Simone Molock","nonbinary","black",43,69551,"married",16,"employed",18,"earth",95.7544793043445,1.57452687582607
"Ronald Chen","male","asian",33,160525,"single",18,"employed",31,"earth",114.862449339616,1.80899129515718
"Zubaida al-Soltani","female","arabic",50,66481,"married",12,"employed",14,"earth",96.8436193987966,1.58106171639278
"Victoria Liu","female","asian",34,135473,"single",16,"employed",30,"earth",97.2722556175259,1.58363353370516
"Noora al-Yasin","female","arabic",48,152798,"divorced",20,"employed",15,"earth",107.025199055025,1.64215119433015
"Shelby Olsen","female","white",23,52836,"married",11,"employed",14,"earth",78.4992308711951,1.47099538522717
"Jumaima al-Elamin","female","arabic",51,52162,"married",11,"employed",15,"earth",54.2553976495157,1.32553238589709
"Wel Simmons","male","black",47,48235,"single",12,"employed",16,"earth",62.9652341697447,1.42841171724479
"Alexis Brooks","female","black",42,71106,"single",19,"employed",19,"earth",114.875088082866,1.68925052849719
"Angel Rivera","female","hispanic",57,58779,"married",16,"employed",8,"earth",84.4924435300425,1.50695466118026
"Anthony Kaiser","male","white",37,63676,"married",16,"employed",25,"earth",93.8975201404073,1.65524848102965
"Faaris el-Mian","male","arabic",48,209024,"single",17,"employed",15,"earth",109.938820796743,1.77288468584278
"Aaron Reeves","male","indigenous",65,41290,"married",13,"employed",2,"earth",79.3726818237977,1.54873300004118
"Elizabeth Knapp","female","white",25,68687,"single",12,"employed",17,"earth",88.8334821151002,1.5330008926906
"Ka Jones","male","asian",36,85716,"single",18,"employed",27,"earth",97.6627945619979,1.68286049345465
"Robby Tang","male","asian",31,51033,"married",18,"employed",29,"earth",119.507768684375,1.84305697035208
"Vivian Joh","female","asian",36,81316,"married",18,"employed",27,"earth",111.963245562963,1.67177947337778
"Laura Starr","female","white",19,47359,"married",12,"employed",15,"earth",91.8686781749759,1.55121206904986
"Shafinity Thomas","female","other",42,122842,"divorced",19,"employed",18,"earth",117.854295000852,1.70712577000511
"David Littlefield","male","asian",32,81691,"single",22,"employed",31,"earth",108.224721167213,1.76031462189289
"Vincent Starcer","male","indigenous",60,78114,"married",15,"employed",4,"earth",104.792743490899,1.73514678559992
"Donna Curry","female","asian",36,80085,"married",14,"employed",26,"earth",91.0624480936559,1.54637468856194
"Thalia Hendrix-Wilcox","female","black",40,82709,"divorced",19,"employed",19,"earth",100.477064649463,1.60286238789678
"Jeffrey Wolfe","male","white",37,77764,"married",17,"employed",25,"earth",102.898625483273,1.72125658687734
"Jeffrey Smith","male","black",46,65567,"married",22,"employed",16,"earth",120.85867953137,1.85296364989671
"Nathaniel Muchow","male","white",23,63215,"single",16,"employed",14,"earth",96.1416635726678,1.67170553286623
"Nicole Duskus","female","asian",31,79965,"single",16,"employed",29,"earth",112.454325412639,1.67472595247584
"Zackary Rutz","male","white",23,34548,"single",9,"employed",14,"earth",59.856522739259,1.4056145000879
"Christian Evans","male","black",39,94234,"single",22,"employed",20,"earth",120.842085657243,1.85284196148645
"Caitlin Lewis","female","white",20,33051,"single",11,"employed",16,"earth",79.4952462018692,1.47697147721122
"Brenda Belen","female","asian",32,69935,"married",12,"employed",31,"earth",95.8316713824347,1.57499002829461
"Erica Nguyen","female","other",33,119357,"single",26,"employed",31,"earth",117.378640682381,1.70427184409429
"Demetri Nwagwu","male","black",40,51026,"divorced",18,"employed",20,"earth",110.304759563579,1.77556823679958
"Danielle Locke","female","black",47,95798,"divorced",15,"employed",16,"earth",92.7807797992723,1.55668467879563
"Alexander Lee","male","asian",34,63064,"single",19,"employed",31,"earth",104.191958247064,1.73074102714513
"Danielle Reynolds","female","white",38,113106,"single",18,"employed",20,"earth",108.769892219926,1.65261935331956
"Michael Thompson","male","indigenous",62,58746,"married",12,"employed",4,"earth",105.555510649353,1.74074041142859
"Marrika Evans","female","other",43,71274,"married",16,"employed",18,"earth",98.5026336426804,1.59101580185608
"Ishaaq al-Hassen","male","arabic",49,83133,"single",21,"employed",15,"earth",115.147444880058,1.81108126245376
"Nabeela el-Awan","female","arabic",54,47757,"married",17,"employed",12,"earth",110.547385957437,1.66328431574462
"Cassandra Williams","female","white",38,67071,"single",13,"employed",21,"earth",91.021230739246,1.54612738443548
"Kimberly Gehring","female","asian",36,40937,"single",12,"employed",27,"earth",66.0085164602771,1.39605109876166
"Hugo Pastrana","male","hispanic",59,77339,"married",13,"employed",5,"earth",93.8172686028575,1.65465996975429
"Brian Liu","male","asian",33,48025,"divorced",10,"employed",31,"earth",79.1768530685,1.54729692250233
"Vincent Rees","male","white",37,87804,"single",17,"employed",25,"earth",77.4265991941208,1.53446172742355
"Safaaa al-Arif","female","arabic",50,43925,"married",15,"employed",15,"earth",92.7907913396591,1.55674474803795
"Dustin Maus","male","white",23,56623,"single",12,"employed",14,"earth",77.649096327454,1.536093373068
"Badr al-Ishmael","male","arabic",56,44046,"divorced",16,"employed",10,"earth",93.9462826191987,1.65560607254079
"Andres Carroll","male","indigenous",63,65239,"divorced",17,"employed",4,"earth",80.0027538351072,1.55335352812412
"Jemima Bluitt","female","black",47,66895,"married",18,"employed",16,"earth",103.085752321311,1.61851451392787
"Terry Hermawan","male","asian",33,69239,"married",12,"employed",31,"earth",76.0100057318669,1.52407337536702
"Munisa al-Ishak","female","arabic",55,79247,"married",11,"employed",12,"earth",100.242471580931,1.60145482948558
"Jordan Harrison","male","black",42,61848,"married",14,"employed",19,"earth",99.4051709791691,1.69563792051391
"Alejandro Petrouske","male","indigenous",63,100158,"married",18,"employed",3,"earth",109.112823267015,1.76682737062478
"Cheyenne Christensen","male","indigenous",62,77987,"married",22,"employed",4,"earth",118.459328291991,1.8353684074746
"Kali Nichols","female","indigenous",61,70590,"married",16,"employed",4,"earth",89.2425664933473,1.53545539896008
"Jennifer Vega","female","indigenous",61,52815,"married",18,"employed",4,"earth",110.051270573408,1.66030762344045
"Devon Ohlig","female","indigenous",69,72801,"single",12,"employed",1,"earth",90.7139972018363,1.54428398321102
"Cheyenne Basurto","female","indigenous",76,105012,"married",22,"employed",0,"earth",119.607833837881,1.71764700302728
"Michael Taylor Mcgowan","male","black",45,51431,"single",18,"employed",17,"earth",118.230249689723,1.83368849772463
"Jake Block","male","white",38,76704,"divorced",18,"employed",21,"earth",97.1369368804249,1.67900420378978
"Mu'taz al-Bacho","male","arabic",56,74063,"married",18,"employed",11,"earth",108.493123149454,1.76228290309599
"Kiandra Smith","female","black",19,70438,"married",12,"employed",14,"earth",75.1183044812237,1.45070982688734
"Kyla Cloud","female","indigenous",65,87154,"single",12,"employed",3,"earth",82.5145662280906,1.49508739736854
"Mufliha al-Salameh","female","arabic",52,116715,"single",20,"employed",13,"earth",111.615965016303,1.66969579009782
"Brian Thao","male","asian",27,82549,"widowed",9,"employed",20,"earth",81.8439293703006,1.56685548204887
"Kai-Ndamba Ford","male","black",39,64886,"married",14,"employed",20,"earth",90.3538515459165,1.62926157800339
"Alonzo Morris","male","indigenous",71,94349,"divorced",20,"employed",0,"earth",105.976334920488,1.74382645608358
"Sara Nguyen","female","asian",33,49451,"single",11,"employed",31,"earth",93.4238640399313,1.56054318423959
"Andra Demchenko","female","white",24,137085,"single",14,"employed",16,"earth",119.359565829834,1.716157394979
"Dawa Ho","male","asian",31,97679,"married",16,"employed",28,"earth",87.7737927783123,1.61034114704096
"Zong Xiong","male","asian",29,107042,"single",12,"employed",25,"earth",83.8764650211374,1.58176074348834
"K'Ara Livaudais","female","black",44,56481,"married",20,"employed",18,"earth",112.115390846747,1.67269234508048
"Mamdooh al-Salem","male","arabic",48,121016,"married",22,"employed",16,"earth",116.935932219277,1.8241968362747
"Savannah Arens","female","indigenous",72,111200,"single",22,"employed",0,"earth",120.850304107691,1.72510182464615
"Kawkab al-Morad","female","arabic",54,41364,"married",12,"employed",12,"earth",81.1808833343407,1.48708530000604
"Taylor Akhavan","female","white",25,57446,"married",16,"employed",17,"earth",85.2286161259382,1.51137169675563
"Regina Le","female","asian",34,50634,"married",12,"employed",30,"earth",88.3252956634803,1.52995177398088
"Melissa Mccullough","female","black",44,130211,"married",21,"employed",18,"earth",115.528044331833,1.693168265991
"Shaqeeqa al-Hanif","female","arabic",49,61089,"married",22,"employed",15,"earth",107.902420478406,1.64741452287044
"Natalie Walker","female","white",25,106835,"married",16,"employed",17,"earth",110.475056706527,1.66285034023916
"Aspen Li","female","asian",34,110440,"married",22,"employed",30,"earth",120.089689307346,1.72053813584408
"Bob Leung","male","asian",32,122556,"single",16,"employed",31,"earth",95.0434971118149,1.66365231215331
"Deirdra Lee","female","indigenous",64,328766,"divorced",21,"employed",3,"earth",113.437423430991,1.68062454058595
"Jasmine Kim","female","asian",35,68070,"married",10,"employed",29,"earth",90.1243230922248,1.54074593855335
"Aasima el-Doud","female","arabic",48,56852,"married",14,"employed",15,"earth",102.530367165679,1.61518220299408
"Hailey Petty","female","white",37,86201,"married",16,"employed",25,"earth",101.447857102696,1.60868714261618
"Shirelle Arviso","female","indigenous",65,66078,"single",16,"employed",2,"earth",96.9388349103907,1.58163300946234
"Jessica Howells","female","white",26,59351,"single",9,"employed",19,"earth",88.0524038962949,1.52831442337777
"Nia Barclay","female","other",39,65398,"married",18,"employed",20,"earth",109.694022811163,1.65816413686698
"Sandeep Timoteo","male","asian",36,56179,"married",12,"employed",27,"earth",78.652709617455,1.54345320386134
"Nathanial Peil","male","indigenous",72,209823,"married",15,"employed",0,"earth",100.849088885577,1.70622665182756
"Nicholas Killingbeck","male","white",21,51640,"single",12,"employed",6,"earth",81.5966908494767,1.56504239956283
"Natalie Baker","female","white",25,82279,"married",11,"employed",17,"earth",86.9743426814334,1.5218460560886
"Brenda Williams","female","asian",36,77368,"married",22,"employed",26,"earth",112.19695515236,1.67318173091416
"Raashid al-Usman","male","arabic",54,59422,"single",16,"employed",12,"earth",104.20835033073,1.73086123575868
"Judy Tanaka","female","asian",36,42675,"married",11,"employed",27,"earth",100.59619291302,1.60357715747812
"Tuhfa el-Nasr","female","arabic",54,64122,"married",20,"employed",12,"earth",123.784673578366,1.7427080414702
"Emilee Nguyen","female","asian",29,114864,"single",22,"employed",24,"earth",111.264357427382,1.66758614456429
"Morgan Mckay","male","black",42,42351,"single",18,"employed",18,"earth",108.237847404252,1.76041088096451
"Travis Brewer","male","white",38,76182,"single",15,"employed",20,"earth",99.4477613616951,1.69595024998576
"Sean Manuel","male","black",46,70027,"married",13,"employed",16,"earth",96.4742381086587,1.67414441279683
"Zachary Corrales","male","hispanic",60,44284,"divorced",18,"employed",5,"earth",103.665738777847,1.72688208437088
"Karros King","male","asian",35,40560,"single",15,"employed",29,"earth",86.2719622754022,1.59932772335295
"Maysea Schwartz","female","asian",27,65410,"single",16,"employed",20,"earth",105.896036914433,1.6353762214866
"Shakeela el-Anwar","female","arabic",52,50538,"married",19,"employed",13,"earth",104.203610289428,1.62522166173657
"Amanda Nguyen","female","asian",30,55631,"married",16,"employed",26,"earth",79.9869518731848,1.47992171123911
"Monica Trueax","female","asian",35,51463,"married",16,"employed",29,"earth",103.02977701802,1.61817866210812
"Beatrice Bonsu","female","black",40,43249,"married",16,"employed",20,"earth",89.0280870688784,1.53416852241327
"Samuel Pham","male","asian",36,62836,"single",21,"employed",27,"earth",107.704629242682,1.75650061444634
"Jacquelyn Mau","female","asian",30,100299,"married",16,"employed",26,"earth",95.6954454610961,1.57417267276658
"Austin Cruz","male","white",25,110832,"married",17,"employed",17,"earth",101.778673026634,1.71304360219532
"Rohan Walters","male","asian",30,70931,"married",18,"employed",26,"earth",103.405651112827,1.7249747748274
"Manish Phan","male","asian",32,57512,"married",12,"employed",31,"earth",86.416718938267,1.60038927221396
"Zayyaan al-Habibi","male","arabic",51,52465,"divorced",22,"employed",14,"earth",126.733666846423,1.89604689020711
"Jacqualine Dunn","other","black",42,119323,"single",22,"employed",19,"earth",122.466601097449,1.7347996065847
"Alexandria Breed","female","asian",36,61376,"married",12,"employed",27,"earth",99.3302245241741,1.59598134714504
"Michael Davis","male","black",45,41780,"married",11,"employed",18,"earth",70.5103272287648,1.48374239967761
"Joseph Richey","male","black",40,36669,"single",13,"employed",20,"earth",101.978874174214,1.71451174394424
"Chelsea Suzuki","female","asian",34,46948,"single",12,"employed",30,"earth",80.6632710499741,1.48397962629984
"Mahfooz al-Semaan","male","arabic",52,41610,"married",13,"employed",13,"earth",89.6753635888824,1.6242859996518
"Terry Joyner","male","black",42,62151,"married",22,"employed",18,"earth",113.442160276973,1.79857584203113
"Charles Smith","male","other",44,100737,"married",24,"employed",17,"earth",122.944388513577,1.86825884909957
"Ramza el-Raad","female","arabic",56,58272,"single",12,"employed",11,"earth",88.5865971217199,1.53151958273032
"Richard Hopson","male","black",44,130748,"married",16,"employed",18,"earth",87.5522678709619,1.60871663105372
"Shukriyya el-Abdalla","female","arabic",53,60351,"single",16,"employed",13,"earth",97.5672616934795,1.58540357016088
"Nenah Reyes Sifuentes","female","other",59,73872,"married",16,"employed",6,"earth",94.2410078491817,1.56544604709509
"Nabeeh el-Amber","male","arabic",56,62584,"single",12,"employed",10,"earth",92.4971182982988,1.64497886752086
